Year,2035_RenewableShare,2035_NonRenewableShare,2035_TotalImpact,2045_RenewableShare,2045_NonRenewableShare,2045_TotalImpact,2055_RenewableShare,2055_NonRenewableShare,2055_TotalImpact,2065_RenewableShare,2065_NonRenewableShare,2065_TotalImpact,2075_RenewableShare,2075_NonRenewableShare,2075_TotalImpact
2062,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.7593771332246839,0.24062286677531608,0.398348942836618,0.6591740618455708,0.3408259381544292,0.5303007822692944
2063,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.772918088816456,0.22708191118354404,0.3805176131835536,0.6700068263189884,0.32999317368101155,0.5160357185468429
2064,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.786459044408228,0.213540955591772,0.3626862835304892,0.6808395907924061,0.3191604092075939,0.5017706548243914
2065,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.6916723552658237,0.3083276447341763,0.4875055911019399
2066,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.7025051197392413,0.29749488026075865,0.4732405273794884
2067,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.713337884212659,0.286662115787341,0.45897546365703684
2068,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.7241706486860766,0.2758293513139234,0.44471039993458533
2069,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.7350034131594942,0.26499658684050575,0.4304453362121339
2070,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.7458361776329119,0.2541638223670881,0.41618027248968237
2071,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.7566689421063295,0.2433310578936705,0.40191520876723086
2072,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.7675017065797471,0.23249829342025286,0.38765014504477935
2073,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.7783344710531648,0.22166552894683522,0.3733850813223278
2074,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.7891672355265824,0.2108327644734176,0.35912001759987633
2075,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248
